country_code,year,ucdp_events
HON,1999,1
HON,2000,1
HON,2002,1
HON,2003,8
HON,2004,4
HON,2008,1
HON,2010,5
HON,2011,1
HON,2012,4
HON,2014,3
HON,2016,2
HON,2019,1
IND,1989,117
IND,1990,331
IND,1991,213
IND,1992,237
IND,1993,324
IND,1994,242
IND,1995,226
IND,1996,174
IND,1997,269
IND,1998,354
IND,1999,454
IND,2000,1290
IND,2001,420
IND,2002,1007
IND,2003,720
IND,2004,765
IND,2005,912
IND,2006,933
IND,2007,726
IND,2008,676
IND,2009,844
IND,2010,781
IND,2011,405
IND,2012,423
IND,2013,348
IND,2014,412
IND,2015,319
IND,2016,420
IND,2017,418
IND,2018,481
IND,2019,361
INS,1989,5
INS,1990,46
INS,1991,38
INS,1992,15
INS,1993,9
INS,1994,9
INS,1995,21
INS,1996,17
INS,1997,37
INS,1998,30
INS,1999,326
INS,2000,157
INS,2001,99
INS,2002,265
INS,2003,226
INS,2004,359
INS,2005,33
INS,2006,3
INS,2007,1
INS,2008,3
INS,2011,4
INS,2012,1
INS,2013,6
INS,2014,4
INS,2015,3
INS,2017,3
INS,2018,7
INS,2019,9
IRN,1990,14
IRN,1991,4
IRN,1992,5
IRN,1993,28
IRN,1994,5
IRN,1995,7
IRN,1996,5
IRN,1997,15
IRN,1998,7
IRN,1999,10
IRN,2000,25
IRN,2001,20
IRN,2003,1
IRN,2005,16
IRN,2006,23
IRN,2007,22
IRN,2008,21
IRN,2009,14
IRN,2010,13
IRN,2011,20
IRN,2012,6
IRN,2013,4
IRN,2014,2
IRN,2015,9
IRN,2016,27
IRN,2017,12
IRN,2018,26
IRN,2019,43
IRQ,1989,2
IRQ,1990,25
IRQ,1991,111
IRQ,1992,46
IRQ,1993,29
IRQ,1994,29
IRQ,1995,50
IRQ,1996,49
IRQ,1997,22
IRQ,1998,1
IRQ,1999,7
IRQ,2000,6
IRQ,2001,1
IRQ,2002,4
IRQ,2003,104
IRQ,2004,343
IRQ,2005,506
IRQ,2006,533
IRQ,2007,449
IRQ,2008,394
IRQ,2009,351
IRQ,2010,362
IRQ,2011,179
IRQ,2012,255
IRQ,2013,509
IRQ,2014,1003
IRQ,2015,1039
IRQ,2016,613
IRQ,2017,535
IRQ,2018,145
IRQ,2019,128
ISR,1989,78
ISR,1990,54
ISR,1991,54
ISR,1992,91
ISR,1993,122
ISR,1994,90
ISR,1995,70
ISR,1996,66
ISR,1997,52
ISR,1998,39
ISR,1999,27
ISR,2000,74
ISR,2001,182
ISR,2002,376
ISR,2003,155
ISR,2004,269
ISR,2005,120
ISR,2006,410
ISR,2007,239
ISR,2008,155
ISR,2009,140
ISR,2010,38
ISR,2011,35
ISR,2012,30
ISR,2013,9
ISR,2014,322
ISR,2015,15
ISR,2016,9
ISR,2017,9
ISR,2018,34
ISR,2019,45
IVO,1990,1
IVO,1991,1
IVO,1996,1
IVO,1998,1
IVO,1999,2
IVO,2000,5
IVO,2001,1
IVO,2002,46
IVO,2003,38
IVO,2004,23
IVO,2005,20
IVO,2006,6
IVO,2007,3
IVO,2008,4
IVO,2009,1
IVO,2010,12
IVO,2011,81
IVO,2012,2
JAM,1989,1
JAM,1994,1
JAM,2001,20
JAM,2002,6
JAM,2003,1
JOR,2016,5
KEN,1989,1
KEN,1990,1
KEN,1991,1
KEN,1992,26
KEN,1993,17
KEN,1994,13
KEN,1995,4
KEN,1996,6
KEN,1997,10
KEN,1998,12
KEN,1999,4
KEN,2000,7
KEN,2001,17
KEN,2002,4
KEN,2003,2
KEN,2004,1
KEN,2005,27
KEN,2006,22
KEN,2007,51
KEN,2008,106
KEN,2009,17
KEN,2010,22
KEN,2011,13
KEN,2012,30
KEN,2013,7
KEN,2014,6
KEN,2015,25
KEN,2016,42
